
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
76:50:CD:80:F0:9E, 2020-04-19 21:19:11, 2020-04-19 21:37:11, -24,        2, (not associated) ,
DA:A1:19:2E:8D:1B, 2020-04-19 21:36:24, 2020-04-19 21:36:24, -84,        1, (not associated) ,
44:FE:3B:27:CF:08, 2020-04-18 13:49:52, 2020-04-19 21:36:26, -90,      842, (not associated) ,
9C:F4:8E:F0:A2:A2, 2020-04-18 13:41:43, 2020-04-19 21:35:19, -81,     4778, 50:D4:F7:80:56:DB,ChangHome5
1C:23:2C:40:DF:6F, 2020-04-18 13:37:10, 2020-04-19 21:35:24, -83,      698, EC:F4:51:B1:66:D4,
A2:43:87:B7:3C:43, 2020-04-19 08:36:48, 2020-04-19 21:35:10, -82,      148, (not associated) ,MWAWEN
FF:FF:30:23:03:77, 2020-04-18 17:31:40, 2020-04-19 21:35:09, -84,       41, F0:F1:30:23:03:77,
D0:4F:7E:4D:E9:50, 2020-04-18 13:36:58, 2020-04-19 21:33:40, -79,      618, (not associated) ,
DA:A1:19:CC:D5:F1, 2020-04-19 21:33:00, 2020-04-19 21:33:00, -79,        2, (not associated) ,
DA:A1:19:42:2E:DC, 2020-04-19 21:31:57, 2020-04-19 21:31:57, -81,        1, (not associated) ,
FF:FF:70:4F:57:89, 2020-04-18 13:55:34, 2020-04-19 21:31:05, -57,      138, 00:00:FF:FF:FF:FF,
B8:5E:7B:26:41:73, 2020-04-18 13:36:36, 2020-04-19 21:29:42, -67,     8970, A6:F4:30:8E:C9:89,WiBrid,iphone,iPhone
14:C2:13:BA:44:3B, 2020-04-18 23:49:18, 2020-04-19 21:28:10,  -1,        4, 48:8D:36:6C:24:1B,
AE:C4:EB:4B:31:1E, 2020-04-18 13:36:40, 2020-04-19 21:27:51, -81,      810, 10:BE:F5:D5:EE:E4,MWAWEN
DA:A1:19:B0:96:AD, 2020-04-19 21:26:45, 2020-04-19 21:26:45, -81,        2, (not associated) ,
DA:A1:19:E5:E5:E5, 2020-04-19 12:41:34, 2020-04-19 21:25:15, -76,        2, (not associated) ,
F0:99:B6:2C:85:76, 2020-04-18 14:17:33, 2020-04-19 21:20:32, -88,       33, 10:7B:44:AE:2F:98,Meww,Meww_5G
E4:0E:EE:30:EC:9E, 2020-04-18 21:18:19, 2020-04-19 21:19:52,   0,      562, EC:F4:51:94:B6:61,
DA:A1:19:D5:85:FD, 2020-04-19 21:19:51, 2020-04-19 21:19:51, -78,        3, (not associated) ,
DA:A1:19:26:97:7F, 2020-04-19 21:19:51, 2020-04-19 21:19:51, -87,        1, (not associated) ,
00:00:01:00:5E:00, 2020-04-18 19:38:14, 2020-04-19 21:19:44,  -1,        2, 00:FB:70:4F:57:89,
DA:A1:19:9F:25:51, 2020-04-19 21:18:49, 2020-04-19 21:18:49, -77,        1, (not associated) ,
DA:A1:19:37:82:C9, 2020-04-19 21:17:47, 2020-04-19 21:17:47, -88,        1, (not associated) ,
5C:C3:07:7A:CA:82, 2020-04-18 23:28:43, 2020-04-19 21:13:04, -85,        6, F8:E9:03:C9:21:6A,
22:C3:89:DA:A5:8E, 2020-04-19 21:12:11, 2020-04-19 21:12:12, -32,       11, (not associated) ,
AE:93:1C:DD:13:45, 2020-04-19 21:12:09, 2020-04-19 21:12:09, -46,       10, (not associated) ,
DA:A1:19:FB:9B:12, 2020-04-19 21:10:55, 2020-04-19 21:10:55, -84,        1, (not associated) ,
7E:B5:AD:48:53:A7, 2020-04-19 21:09:37, 2020-04-19 21:09:37, -82,        1, (not associated) ,
FF:FF:EC:F4:51:94, 2020-04-19 15:10:44, 2020-04-19 21:07:11, -69,        2, B6:61:FF:FF:FF:FF,
A2:D7:7E:F8:1B:87, 2020-04-18 13:51:43, 2020-04-19 21:04:32, -74,      654, 10:BE:F5:D5:EE:E4,
BA:5F:ED:C3:9C:45, 2020-04-19 21:04:05, 2020-04-19 21:04:05, -79,        1, (not associated) ,
B8:53:AC:70:64:A3, 2020-04-18 21:16:19, 2020-04-19 21:03:47, -71,     1882, EC:F4:51:94:B6:61,SINGTEL-B661
5E:42:C1:74:85:1C, 2020-04-18 16:37:12, 2020-04-19 20:59:25, -75,      123, (not associated) ,GORMLESS
FF:FF:78:28:CA:BB, 2020-04-18 13:59:47, 2020-04-19 20:53:50, -12,       73, 40:77:FF:FF:FF:FF,
BE:CC:1D:5D:64:A3, 2020-04-19 19:31:36, 2020-04-19 19:31:36, -23,        1, (not associated) ,
66:9A:6B:A8:77:2C, 2020-04-19 19:32:31, 2020-04-19 19:32:31, -29,        1, (not associated) ,
22:58:7B:B3:32:A2, 2020-04-19 19:32:31, 2020-04-19 19:32:31, -40,       10, (not associated) ,
48:C7:96:09:F8:EA, 2020-04-19 19:31:36, 2020-04-19 19:31:36, -87,        1, (not associated) ,SINGTEL-66D4
FA:5D:15:84:A0:20, 2020-04-19 19:26:45, 2020-04-19 19:31:13, -26,        2, (not associated) ,
36:F9:89:D4:F2:83, 2020-04-19 19:22:18, 2020-04-19 19:22:18, -26,        8, (not associated) ,
FE:94:DB:16:7E:72, 2020-04-19 19:13:16, 2020-04-19 19:17:46, -22,        2, (not associated) ,
DA:A1:19:44:A4:87, 2020-04-19 19:10:37, 2020-04-19 19:10:40, -72,        3, (not associated) ,
DA:A1:19:0E:09:F0, 2020-04-19 19:07:57, 2020-04-19 19:07:57, -80,        1, (not associated) ,
48:8D:36:D4:62:2A, 2020-04-18 14:01:00, 2020-04-19 19:07:22, -85,      220, (not associated) ,
4C:80:93:76:F2:4B, 2020-04-19 17:48:27, 2020-04-19 19:06:53, -86,       12, (not associated) ,Meww
DA:A1:19:2F:1E:6E, 2020-04-19 19:00:21, 2020-04-19 19:06:16, -76,        5, (not associated) ,
A8:DB:03:C0:EB:DE, 2020-04-18 18:50:58, 2020-04-19 19:06:16, -86,      103, 48:8D:36:6C:24:1B,
48:E2:44:62:17:02, 2020-04-18 13:54:44, 2020-04-19 19:04:16, -89,       67, 56:C3:BE:1F:1E:08,
DA:A1:19:9D:9D:9D, 2020-04-18 22:25:44, 2020-04-19 19:02:43, -79,        3, (not associated) ,
E0:8F:EB:7D:15:D3, 2020-04-18 13:51:41, 2020-04-19 19:01:20, -89,      223, (not associated) ,
40:31:3C:74:25:EC, 2020-04-18 16:41:52, 2020-04-19 19:01:20, -94,      714, (not associated) ,Linksys21442
8A:FE:0D:DA:12:F8, 2020-04-19 18:59:53, 2020-04-19 18:59:53, -89,        1, (not associated) ,
00:EC:0A:DF:41:B9, 2020-04-19 00:02:39, 2020-04-19 18:59:41,  -1,        4, 00:26:75:FE:E7:30,
DA:A1:19:F1:E5:90, 2020-04-19 18:58:36, 2020-04-19 18:58:36, -81,        1, (not associated) ,
98:01:A7:76:97:E6, 2020-04-18 22:40:28, 2020-04-19 18:58:22, -93,        4, (not associated) ,
DA:A1:19:3D:4C:A0, 2020-04-19 18:56:32, 2020-04-19 18:56:32, -85,        1, (not associated) ,
36:C5:5E:7E:30:9A, 2020-04-19 18:53:34, 2020-04-19 18:53:34, -90,        1, (not associated) ,
C0:25:E9:29:08:F9, 2020-04-18 16:50:58, 2020-04-19 18:51:07, -94,      137, (not associated) ,dlink-9BB8,Linksys04359_5GHz
DA:A1:19:CA:5A:F7, 2020-04-19 18:47:56, 2020-04-19 18:47:56, -83,        2, (not associated) ,
DA:A1:19:57:65:A8, 2020-04-19 18:46:32, 2020-04-19 18:46:32, -78,        1, (not associated) ,
50:3E:AA:38:E4:64, 2020-04-18 13:53:22, 2020-04-19 18:45:15, -90,       93, (not associated) ,
DA:A1:19:3D:F6:D3, 2020-04-19 18:44:28, 2020-04-19 18:44:28, -81,        1, (not associated) ,
DA:A1:19:7E:7E:7E, 2020-04-18 15:58:01, 2020-04-19 18:43:00, -78,        3, (not associated) ,
DA:A1:19:B4:CB:59, 2020-04-19 18:42:23, 2020-04-19 18:42:23, -79,        3, (not associated) ,
62:78:DD:83:B7:BF, 2020-04-19 18:22:42, 2020-04-19 18:40:42, -33,        3, (not associated) ,
DA:A1:19:8F:35:64, 2020-04-19 18:40:41, 2020-04-19 18:40:41, -86,        1, (not associated) ,
F0:C8:50:52:ED:4E, 2020-04-19 18:22:16, 2020-04-19 18:39:16, -88,        6, EC:F4:51:B1:66:D4,
EC:F4:51:B1:66:D4, 2020-04-18 13:49:36, 2020-04-19 18:38:50, -90,       19, (not associated) ,
F0:98:9D:EA:93:A1, 2020-04-18 14:02:27, 2020-04-19 18:38:00, -82,        6, (not associated) ,SINGTEL-57D4-5Ghz
CE:CD:67:83:E4:CB, 2020-04-19 18:36:55, 2020-04-19 18:36:55, -89,        1, (not associated) ,
DA:A1:19:01:0D:92, 2020-04-19 18:36:33, 2020-04-19 18:36:33, -80,        1, (not associated) ,
DA:A1:19:8E:8E:8E, 2020-04-19 18:33:09, 2020-04-19 18:33:09, -82,        2, (not associated) ,
D8:6C:02:FA:B4:5C, 2020-04-19 12:37:40, 2020-04-19 18:32:45, -92,        3, (not associated) ,
C4:85:08:4B:37:C8, 2020-04-19 18:31:55, 2020-04-19 18:31:55,  -1,        1, 24:F5:A2:43:57:89,
DA:A1:19:68:E9:3B, 2020-04-19 18:31:57, 2020-04-19 18:31:57, -89,        3, (not associated) ,TP-Link_5D84
F0:DB:F8:2F:17:D1, 2020-04-19 06:37:39, 2020-04-19 18:30:16,  -1,        5, 70:8B:CD:B4:80:88,
BA:0F:3E:CF:A1:16, 2020-04-19 18:30:13, 2020-04-19 18:30:13, -88,        1, (not associated) ,
BA:8B:2F:31:4E:47, 2020-04-19 18:30:02, 2020-04-19 18:30:02, -84,        2, (not associated) ,
DA:A1:19:1F:9B:97, 2020-04-19 18:28:10, 2020-04-19 18:28:10, -91,        2, (not associated) ,TP-Link_5D84
94:0C:98:8C:56:32, 2020-04-19 12:42:31, 2020-04-19 18:27:21,  -1,        3, 48:8D:36:6C:24:1B,
74:42:8B:79:39:2A, 2020-04-18 13:43:04, 2020-04-19 18:26:53, -71,     1908, EC:F4:51:94:B6:61,SINGTEL-B661
5E:EC:7E:A7:39:3B, 2020-04-19 18:25:01, 2020-04-19 18:25:01, -81,        1, (not associated) ,
DA:A1:19:53:53:53, 2020-04-19 11:57:34, 2020-04-19 18:23:21, -79,        3, (not associated) ,
DA:A1:19:8C:09:AE, 2020-04-19 18:23:11, 2020-04-19 18:23:11, -87,        1, (not associated) ,
DA:A1:19:34:B8:F3, 2020-04-19 18:22:10, 2020-04-19 18:22:10, -88,        1, (not associated) ,
C0:EE:FB:43:48:1E, 2020-04-18 14:08:44, 2020-04-19 18:21:16, -89,      114, 30:23:03:0F:D4:69,Yuven
DA:A1:19:95:1E:A3, 2020-04-19 18:20:05, 2020-04-19 18:20:05, -82,        1, (not associated) ,
DA:A1:19:FE:D7:93, 2020-04-19 18:18:58, 2020-04-19 18:18:58, -83,        1, (not associated) ,TP-Link_5D84
6A:A6:2B:5F:08:B2, 2020-04-19 18:16:56, 2020-04-19 18:16:57, -36,       10, (not associated) ,
E6:41:49:F1:59:D2, 2020-04-19 18:16:46, 2020-04-19 18:16:46, -37,       10, (not associated) ,
F2:5D:1C:1C:29:27, 2020-04-19 18:16:07, 2020-04-19 18:16:07, -37,        9, (not associated) ,
DA:A1:19:29:7E:55, 2020-04-19 18:14:15, 2020-04-19 18:14:15, -88,        1, (not associated) ,
DA:A1:19:3E:8C:3E, 2020-04-19 18:12:11, 2020-04-19 18:12:11, -88,        1, (not associated) ,
6C:C7:EC:72:91:58, 2020-04-18 13:49:22, 2020-04-19 18:06:16, -56,      457, EC:F4:51:94:B6:61,SINGTEL-B661
AA:58:34:8F:FB:F5, 2020-04-19 18:05:18, 2020-04-19 18:05:18, -47,       10, (not associated) ,
9E:B2:5D:99:E8:FA, 2020-04-19 18:05:00, 2020-04-19 18:05:01, -59,       10, (not associated) ,
04:72:95:3F:AE:F8, 2020-04-18 15:28:52, 2020-04-19 18:02:46, -88,       41, 58:EF:68:AA:39:67,Linksys03808_5GHz
DA:A1:19:51:B9:33, 2020-04-19 18:01:28, 2020-04-19 18:01:28, -84,        1, (not associated) ,
04:D6:AA:C5:0C:19, 2020-04-19 17:44:41, 2020-04-19 18:00:52, -86,        2, (not associated) ,
DA:A1:19:FF:76:A7, 2020-04-19 17:59:25, 2020-04-19 17:59:25, -83,        1, (not associated) ,
DA:A1:19:E1:E1:E1, 2020-04-19 14:04:42, 2020-04-19 17:58:48, -79,        2, (not associated) ,
66:D4:0D:87:04:4F, 2020-04-19 17:58:48, 2020-04-19 17:58:48, -89,        1, (not associated) ,
7A:B3:0C:09:7A:0E, 2020-04-19 17:58:11, 2020-04-19 17:58:11, -87,        2, (not associated) ,
3A:C4:D4:43:20:55, 2020-04-19 17:57:47, 2020-04-19 17:57:48, -82,        2, (not associated) ,
D0:22:BE:B7:36:B1, 2020-04-19 12:38:55, 2020-04-19 17:57:35, -86,        2, (not associated) ,
76:92:36:72:B2:6A, 2020-04-19 17:56:53, 2020-04-19 17:56:53, -80,        1, (not associated) ,
18:56:80:F6:91:AE, 2020-04-19 17:56:56, 2020-04-19 17:56:56, -89,        1, (not associated) ,
86:BF:ED:83:CC:2B, 2020-04-19 17:56:56, 2020-04-19 17:56:56, -91,        1, (not associated) ,
E0:D3:1A:0D:56:DC, 2020-04-18 22:05:38, 2020-04-19 17:55:51, -91,        3, (not associated) ,
02:BD:E6:91:0F:42, 2020-04-19 17:49:38, 2020-04-19 17:49:38, -82,        1, (not associated) ,
82:A7:91:4C:92:39, 2020-04-19 17:49:27, 2020-04-19 17:49:27, -88,        1, (not associated) ,
52:B6:AD:0C:A8:64, 2020-04-19 17:47:32, 2020-04-19 17:47:32, -72,        3, (not associated) ,
DA:A1:19:AF:50:63, 2020-04-19 17:47:23, 2020-04-19 17:47:23, -86,        1, (not associated) ,
C2:8D:1B:D5:1A:93, 2020-04-19 17:47:06, 2020-04-19 17:47:06, -84,        1, (not associated) ,
E6:66:03:4E:14:28, 2020-04-19 17:46:53, 2020-04-19 17:46:53, -87,        1, (not associated) ,
CA:84:0E:B3:87:73, 2020-04-19 17:46:57, 2020-04-19 17:46:57, -89,        1, (not associated) ,
F4:5C:89:93:9D:43, 2020-04-18 16:07:16, 2020-04-19 17:46:05, -86,       20, (not associated) ,Linksys03808_5GHz
DA:A1:19:EB:AF:FD, 2020-04-19 17:43:35, 2020-04-19 17:43:35, -86,        1, (not associated) ,
DA:A1:19:E3:1E:63, 2020-04-19 17:39:50, 2020-04-19 17:39:50, -89,        1, (not associated) ,
DC:F5:05:55:3C:A7, 2020-04-18 16:43:17, 2020-04-19 17:32:21, -84,      148, 24:F5:A2:90:FB:8B,
D6:38:FD:AE:78:27, 2020-04-19 17:29:25, 2020-04-19 17:29:25, -40,        9, (not associated) ,
DA:A1:19:81:F8:B1, 2020-04-19 16:03:02, 2020-04-19 16:03:02, -77,        1, (not associated) ,
DA:A1:19:1E:14:C9, 2020-04-19 16:01:59, 2020-04-19 16:01:59, -86,        1, (not associated) ,
44:FE:3B:5F:A5:A8, 2020-04-19 12:46:08, 2020-04-19 15:59:57, -90,        3, (not associated) ,
E8:DE:27:05:0B:05, 2020-04-19 15:58:17, 2020-04-19 15:58:17, -84,        1, (not associated) ,
76:68:4D:DC:8C:7B, 2020-04-18 14:30:09, 2020-04-19 15:55:22, -89,       12, F8:E9:03:C9:21:68,
DA:A1:19:1C:9D:B6, 2020-04-19 15:55:07, 2020-04-19 15:55:07, -85,        1, (not associated) ,
EC:F4:51:A5:78:AA, 2020-04-18 19:12:41, 2020-04-19 15:54:30, -93,       11, (not associated) ,
DA:A1:19:AC:17:E7, 2020-04-19 15:54:05, 2020-04-19 15:54:05, -83,        1, (not associated) ,
06:C6:9D:82:DC:8F, 2020-04-19 15:53:52, 2020-04-19 15:53:52, -91,        1, (not associated) ,
B4:CD:27:18:B5:DA, 2020-04-19 15:53:29, 2020-04-19 15:53:29, -86,        1, 24:F5:A2:43:57:89,
DA:A1:19:CA:AA:49, 2020-04-19 15:52:01, 2020-04-19 15:52:01, -86,        1, (not associated) ,
22:19:C1:22:3D:FF, 2020-04-19 15:39:36, 2020-04-19 15:39:36, -89,        1, (not associated) ,xData_5G
DA:A1:19:FF:03:5F, 2020-04-19 15:39:24, 2020-04-19 15:39:24, -85,        1, (not associated) ,
76:6C:CD:8C:DF:2C, 2020-04-19 15:29:50, 2020-04-19 15:29:50, -37,        9, (not associated) ,
FE:F9:7F:1A:67:2F, 2020-04-19 15:29:39, 2020-04-19 15:29:40, -38,        9, (not associated) ,
F8:16:54:D3:76:2E, 2020-04-19 15:27:40, 2020-04-19 15:27:40,  -1,        4, 78:DD:12:C9:C0:FC,
DA:A1:19:C2:53:2C, 2020-04-19 15:26:51, 2020-04-19 15:26:51, -87,        1, (not associated) ,
DA:A1:19:C4:45:FA, 2020-04-19 15:25:49, 2020-04-19 15:25:49, -88,        1, (not associated) ,
DA:A1:19:8B:53:A6, 2020-04-19 08:59:22, 2020-04-19 15:21:54, -84,        8, (not associated) ,Meww_5G
FA:C7:36:A6:E7:08, 2020-04-19 15:15:28, 2020-04-19 15:15:28, -34,        1, (not associated) ,
52:A5:B0:12:29:07, 2020-04-19 15:10:02, 2020-04-19 15:10:02, -43,        1, (not associated) ,
06:9B:C6:BE:A9:54, 2020-04-19 15:07:57, 2020-04-19 15:07:57, -89,        1, (not associated) ,
22:9F:65:EB:06:DF, 2020-04-19 15:07:44, 2020-04-19 15:07:44, -76,        2, (not associated) ,
96:6D:12:BE:81:D9, 2020-04-19 15:07:34, 2020-04-19 15:07:34, -86,        2, (not associated) ,
DA:A1:19:14:A9:5C, 2020-04-19 15:06:59, 2020-04-19 15:06:59, -83,        1, (not associated) ,
DA:A1:19:C3:BB:88, 2020-04-19 15:05:57, 2020-04-19 15:05:57, -84,        1, (not associated) ,
DA:A1:19:A8:DE:69, 2020-04-19 15:05:46, 2020-04-19 15:05:46, -83,        2, (not associated) ,
06:8E:01:A6:8E:B4, 2020-04-19 14:25:40, 2020-04-19 15:01:40, -71,        9, 00:25:00:FF:94:73,
F6:93:A0:12:51:B0, 2020-04-19 14:59:19, 2020-04-19 14:59:19, -38,        2, (not associated) ,
F2:43:99:AB:F1:D8, 2020-04-18 13:36:47, 2020-04-19 14:58:59, -30,      186, (not associated) ,ChangHome5
DE:A9:77:C1:EF:10, 2020-04-19 14:48:28, 2020-04-19 14:57:28, -33,        2, (not associated) ,
DA:A1:19:8B:0B:AF, 2020-04-19 14:54:59, 2020-04-19 14:54:59, -84,        1, (not associated) ,
24:18:1D:13:87:C2, 2020-04-18 14:11:20, 2020-04-19 14:51:25, -88,       17, 24:F5:A2:90:FB:8B,
DA:FF:C4:76:E0:51, 2020-04-19 14:50:52, 2020-04-19 14:50:52, -91,        1, (not associated) ,
DA:A1:19:67:F0:E9, 2020-04-19 07:50:27, 2020-04-19 14:50:24, -89,       22, (not associated) ,
A4:D1:8C:F0:ED:36, 2020-04-19 14:49:22, 2020-04-19 14:49:22,  -1,        1, 48:8D:36:6C:24:1B,
DA:A1:19:5F:4A:79, 2020-04-19 14:44:22, 2020-04-19 14:44:22, -88,        1, (not associated) ,
22:39:9C:26:B6:57, 2020-04-19 14:41:52, 2020-04-19 14:41:52, -49,        9, (not associated) ,
6C:B7:49:CD:3E:8C, 2020-04-19 14:41:40, 2020-04-19 14:41:40, -78,        1, (not associated) ,
DA:A1:19:45:F5:A9, 2020-04-19 14:30:42, 2020-04-19 14:30:42, -82,        1, (not associated) ,VM866579-2G
DA:A1:19:25:DA:6B, 2020-04-19 14:25:17, 2020-04-19 14:25:17, -86,        1, (not associated) ,
8C:B8:4A:4C:FB:4E, 2020-04-18 17:37:44, 2020-04-19 14:22:50, -75,        2, (not associated) ,AmazingLife
DA:A1:19:83:82:C0, 2020-04-19 14:12:22, 2020-04-19 14:12:22, -83,        1, (not associated) ,
8E:B9:AE:67:66:88, 2020-04-19 14:10:18, 2020-04-19 14:10:18, -46,        1, (not associated) ,
DA:A1:19:3E:B1:BA, 2020-04-19 14:10:04, 2020-04-19 14:10:04, -80,        1, (not associated) ,
DA:A1:19:6A:19:83, 2020-04-19 14:06:46, 2020-04-19 14:06:46, -81,        1, (not associated) ,
DA:A1:19:DE:FD:2F, 2020-04-19 14:05:44, 2020-04-19 14:05:44, -83,        1, (not associated) ,
DA:A1:19:2D:D0:47, 2020-04-19 14:03:37, 2020-04-19 14:03:37, -84,        1, (not associated) ,
DA:A1:19:38:65:78, 2020-04-19 14:01:12, 2020-04-19 14:01:12, -84,        1, (not associated) ,
26:19:D6:18:A2:47, 2020-04-19 13:59:03, 2020-04-19 13:59:03, -84,        1, (not associated) ,
E0:CB:EE:BF:54:2F, 2020-04-18 13:56:57, 2020-04-19 13:58:40, -74,      272, EC:F4:51:94:B6:61,SINGTEL-B661
DA:A1:19:76:27:8C, 2020-04-19 13:58:14, 2020-04-19 13:58:14, -87,        1, (not associated) ,
DA:A1:19:03:03:03, 2020-04-19 13:45:08, 2020-04-19 13:45:08, -81,        1, (not associated) ,
DA:A1:19:0E:AF:9F, 2020-04-19 13:38:19, 2020-04-19 13:38:19, -79,        1, (not associated) ,
DA:A1:19:05:7C:42, 2020-04-19 13:37:17, 2020-04-19 13:37:17, -79,        1, (not associated) ,
DA:A1:19:26:26:26, 2020-04-19 06:26:18, 2020-04-19 13:35:22, -79,        3, (not associated) ,
7A:D9:90:4C:BB:ED, 2020-04-19 13:11:48, 2020-04-19 13:34:18, -27,        3, (not associated) ,
6A:6A:7B:00:46:21, 2020-04-19 13:32:29, 2020-04-19 13:32:29, -89,        1, (not associated) ,
DA:A1:19:80:6F:E1, 2020-04-19 13:30:41, 2020-04-19 13:30:41, -84,        1, (not associated) ,
DA:A1:19:70:70:70, 2020-04-19 02:45:31, 2020-04-19 13:30:27, -83,        5, (not associated) ,
18:00:DB:72:58:F6, 2020-04-18 13:42:04, 2020-04-19 13:25:07, -57,     1522, (not associated) ,Chang  Home Network
DA:A1:19:A6:50:9C, 2020-04-19 13:25:06, 2020-04-19 13:25:06, -85,        1, (not associated) ,
16:8B:15:E8:B6:72, 2020-04-19 13:21:38, 2020-04-19 13:21:38, -92,        1, (not associated) ,
DA:A1:19:D9:B9:D9, 2020-04-19 13:20:38, 2020-04-19 13:20:38, -83,        1, (not associated) ,
DA:A1:19:39:C1:90, 2020-04-19 13:20:17, 2020-04-19 13:20:17, -77,        1, (not associated) ,
DA:A1:19:17:17:17, 2020-04-19 13:10:54, 2020-04-19 13:10:54, -81,        1, (not associated) ,
A4:CA:A0:BF:21:4C, 2020-04-18 19:24:38, 2020-04-19 13:10:40, -92,       42, 70:8B:CD:B4:80:88,Sim Family 
B6:5B:D6:D4:A5:9A, 2020-04-19 13:09:50, 2020-04-19 13:09:52, -39,        9, (not associated) ,
0A:23:1D:AD:45:F0, 2020-04-19 13:09:48, 2020-04-19 13:09:48, -42,        9, (not associated) ,
5C:66:6C:E2:3E:7D, 2020-04-18 15:09:29, 2020-04-19 13:09:12, -75,       11, (not associated) ,SINGTEL-560A_5G
26:42:09:75:6B:44, 2020-04-19 13:06:07, 2020-04-19 13:06:08, -40,        9, (not associated) ,
B2:56:48:A5:8C:51, 2020-04-19 13:05:57, 2020-04-19 13:05:57, -59,       10, (not associated) ,
3A:1A:70:0D:86:28, 2020-04-19 13:05:05, 2020-04-19 13:05:06, -26,       12, (not associated) ,
36:E4:3B:79:F2:CC, 2020-04-19 13:05:09, 2020-04-19 13:05:09, -60,        7, (not associated) ,
DA:A1:19:F6:D2:CF, 2020-04-19 13:02:44, 2020-04-19 13:02:44, -89,        1, (not associated) ,
DA:A1:19:71:71:71, 2020-04-18 18:25:47, 2020-04-19 13:01:08, -83,        6, (not associated) ,
DA:A1:19:7C:F2:5F, 2020-04-19 12:59:18, 2020-04-19 12:59:18, -86,        1, (not associated) ,
50:3C:EA:21:AE:83, 2020-04-18 16:11:37, 2020-04-19 12:58:20, -84,       15, (not associated) ,SINGTEL-D5DD
DA:A1:19:BF:F6:A1, 2020-04-19 12:56:54, 2020-04-19 12:56:54, -83,        2, (not associated) ,
F2:E2:0F:58:2E:90, 2020-04-19 12:40:05, 2020-04-19 12:52:06, -91,        2, (not associated) ,
DA:A1:19:7B:AA:CA, 2020-04-19 12:51:44, 2020-04-19 12:51:44, -85,        1, (not associated) ,
DA:A1:19:99:03:22, 2020-04-19 12:51:42, 2020-04-19 12:51:42, -87,        4, (not associated) ,TP-Link_5D84
48:C7:96:70:97:41, 2020-04-19 12:50:55, 2020-04-19 12:50:55, -91,        1, (not associated) ,
FE:D6:D5:58:2C:A9, 2020-04-19 12:50:41, 2020-04-19 12:50:41, -80,        3, (not associated) ,
DA:A1:19:28:28:28, 2020-04-19 12:47:53, 2020-04-19 12:47:53, -86,        1, (not associated) ,
DA:A1:19:35:35:35, 2020-04-19 03:45:19, 2020-04-19 12:46:28, -80,        2, (not associated) ,
4E:40:70:AC:80:AC, 2020-04-19 12:42:17, 2020-04-19 12:42:17, -27,       10, (not associated) ,
62:89:5C:E6:64:04, 2020-04-19 12:42:20, 2020-04-19 12:42:20, -93,        1, (not associated) ,
F2:87:84:65:76:B2, 2020-04-19 12:41:30, 2020-04-19 12:41:31, -36,       12, (not associated) ,
AE:69:24:38:CE:0F, 2020-04-19 12:41:28, 2020-04-19 12:41:28, -54,        8, (not associated) ,
72:F0:79:07:9D:9B, 2020-04-19 12:41:05, 2020-04-19 12:41:05, -77,        2, (not associated) ,
DA:A1:19:67:E7:E5, 2020-04-19 12:40:39, 2020-04-19 12:40:39, -86,        1, (not associated) ,
DA:EB:54:16:5D:E6, 2020-04-19 12:39:52, 2020-04-19 12:39:52, -34,        1, (not associated) ,
DA:A1:19:9E:9E:9E, 2020-04-19 12:36:41, 2020-04-19 12:36:41, -76,        2, (not associated) ,
FE:7E:B0:B8:56:ED, 2020-04-19 12:34:28, 2020-04-19 12:34:28, -87,        1, (not associated) ,
40:BC:60:7C:37:6A, 2020-04-19 12:33:17, 2020-04-19 12:33:17, -86,        1, (not associated) ,SINGTEL-C0FC
A4:F0:5E:1E:8C:AD, 2020-04-18 14:52:55, 2020-04-19 12:33:17, -88,        6, 48:8D:36:94:3C:E3,
42:01:90:4D:DB:8A, 2020-04-19 12:31:05, 2020-04-19 12:31:05, -92,        1, (not associated) ,
76:66:29:A1:9B:2A, 2020-04-19 12:21:52, 2020-04-19 12:30:52, -44,        2, (not associated) ,
DA:A1:19:38:95:86, 2020-04-19 12:29:18, 2020-04-19 12:29:18, -85,        1, (not associated) ,
DA:A1:19:CF:85:65, 2020-04-19 12:28:16, 2020-04-19 12:28:16, -85,        1, (not associated) ,
DA:A1:19:C5:C5:C5, 2020-04-18 21:31:26, 2020-04-19 12:26:55, -78,        2, (not associated) ,
DA:A1:19:5F:63:3D, 2020-04-19 12:26:54, 2020-04-19 12:26:54, -84,        1, (not associated) ,
DA:A1:19:EB:FA:09, 2020-04-19 12:20:20, 2020-04-19 12:20:20, -88,        1, (not associated) ,
DA:A1:19:61:C4:EF, 2020-04-19 12:17:56, 2020-04-19 12:17:56, -85,        1, (not associated) ,
5A:D5:01:AE:29:FB, 2020-04-19 12:15:42, 2020-04-19 12:15:42, -72,        9, (not associated) ,
E2:70:29:09:3C:24, 2020-04-19 12:15:32, 2020-04-19 12:15:32, -48,        8, (not associated) ,
DA:BA:7D:80:05:EE, 2020-04-19 12:03:52, 2020-04-19 12:12:52, -45,        2, (not associated) ,
DA:A1:19:42:05:23, 2020-04-19 12:05:55, 2020-04-19 12:05:55, -86,        1, (not associated) ,
